sample_id	cells	groups	lr	ess_core_seconds	official_core_seconds	official_process_wall_seconds	official_peak_rss_gib	official_exceeded_120_gib	ess_records	official_records	active_jaccard	max_abs_probability_difference	exact_pvalue_fraction	max_abs_pvalue_difference	significance_disagreements
THD0008	69227	46	37	2.453	9292.437	9364	115.795715332031	FALSE	21332	21332	1	2.10335221462188e-16	1	0	0
THD0011	25364	42	37	0.531999999999996	657.031	721.73	24.3819274902344	FALSE	9413	9413	1	4.64038529823796e-17	1	0	0
TILD028LA	24813	43	37	0.672000000000011	976.64	1040.9	28.5926361083984	FALSE	13630	13630	1	5.42101086242752e-17	1	0	0
TILD049MA	11140	44	37	0.277000000000001	238.027	302.61	18.8658790588379	FALSE	10924	10924	1	1.38777878078145e-17	1	0	0
TILD080LA	51212	44	37	1.62400000000001	5448.803	5514	77.7001876831055	FALSE	21368	21368	1	2.29850860566927e-17	1	0	0
TILD111LA	29566	44	37	0.739999999999995	1510.284	1574.53	33.2654762268066	FALSE	14289	14289	1	5.89805981832114e-17	1	0	0
TILD113LA	24202	44	37	0.531000000000006	1009.214	1073.19	26.3916053771973	FALSE	14923	14923	1	2.29850860566927e-17	1	0	0
TILD117MA1	49231	44	37	1.521	4625.82	4690	70.2728576660156	FALSE	23074	23074	1	5.76795555762288e-17	1	0	0
TILD117MA2	35271	45	37	0.971999999999994	1903.456	1967.91	36.5479621887207	FALSE	20170	20170	1	5.89805981832114e-17	1	0	0
TILD130LA	24547	44	37	0.654999999999987	1114.661	1178.8	28.8358879089355	FALSE	17475	17475	1	4.98732999343332e-17	1	0	0
TILD167LA	15870	44	37	0.341000000000008	351.738	415.78	20.4213829040527	FALSE	10769	10769	1	2.42861286636753e-17	1	0	0
TILD175MA	35887	44	37	1.02600000000001	1827.002	1891.27	35.6042327880859	FALSE	20806	20806	1	3.77302356024956e-17	1	0	0
TILD299MA	52992	46	37	1.703	4989.679	5055	72.7187690734863	FALSE	23150	23150	1	2.08166817117217e-17	1	0	0
TILD315MA	37361	45	37	1.021	2115.307	2179.35	38.219482421875	FALSE	19394	19394	1	1.45716771982052e-16	1	0	0
VUHD038	5941	40	37	0.102000000000004	130.222	192.96	17.2356147766113	FALSE	3642	3642	1	2.51534904016637e-17	1	0	0
VUHD049	22688	43	37	0.512999999999991	632.108	696.14	23.554515838623	FALSE	10448	10448	1	3.07913416985883e-17	1	0	0
VUHD069	19976	43	37	0.501999999999995	655.334	720.16	24.2015914916992	FALSE	10229	10229	1	3.81639164714898e-17	1	0	0
VUHD090	16110	43	37	0.308000000000007	427.922	492.28	20.3996887207031	FALSE	7662	7662	1	3.16587034365767e-17	1	0	0
VUHD095	11442	38	37	0.269000000000005	238.495	303.05	19.0555763244629	FALSE	8637	8637	1	9.97465998686664e-18	1	0	0
VUHD113	12870	35	37	0.277000000000001	346.857	412.29	20.3053512573242	FALSE	7407	7407	1	3.81639164714898e-17	1	0	0
VUHD116A	12372	42	37	0.332000000000008	352.622	428.48	19.7082405090332	FALSE	9328	9328	1	1.49619899803e-17	1	0	0
