cells	panel	method	nperm	status	exit_status	process_wall_seconds	peak_rss_kb	peak_rss_gib	theoretical_one_dense_distance_gib	signaling_genes	groups	lr	preparation_seconds	individual_or_stream_seconds	group_permutation_seconds	method_end_to_end_seconds	graph_edges	stored_active_links	active_group_lr_records	significant_p_0_05	run_directory
250	full	spatialess	20	completed	0	2.66	639396	0.609775543212891	0.000465661287307739	419	8	373	0	0.296	NA	0.399	4308	23846	1973	685	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells000250_full_spatialess_perm00020
250	full	spatialcellchat_v3	20	completed	0	553.97	1294144	1.23419189453125	0.000465661287307739	419	8	373	0.0740000000000016	161.357	383.529	551.556	NA	23846	1973	685	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells000250_full_spatialcellchat_v3_perm00020
1000	full	spatialess	20	completed	0	3.34	644460	0.614604949951172	0.00745058059692383	419	10	373	0	0.398	NA	0.543	18658	110151	5131	1974	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells001000_full_spatialess_perm00020
1000	full	spatialcellchat_v3	20	completed	0	704.75	1326284	1.26484298706055	0.00745058059692383	419	10	373	0.0839999999999996	335.483	359.174	701.779	NA	110151	5131	1974	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells001000_full_spatialcellchat_v3_perm00020
5000	full	spatialess	20	completed	0	3.4	653736	0.623451232910156	0.186264514923096	419	10	373	0	0.875	NA	1.073	86130	600996	10478	6094	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells005000_full_spatialess_perm00020
5000	full	spatialcellchat_v3	20	completed	0	734.93	1896648	1.80878448486328	0.186264514923096	419	10	373	0.0579999999999998	363.026	364.137	732.587	NA	600996	10478	6094	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells005000_full_spatialcellchat_v3_perm00020
10000	full	spatialess	20	completed	0	4.11	665956	0.635105133056641	0.745058059692383	419	10	373	0	1.584	NA	1.8	172148	1261067	13164	8421	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells010000_full_spatialess_perm00020
10000	full	spatialcellchat_v3	20	completed	0	1372.26	3318128	3.16441345214844	0.745058059692383	419	10	373	0.0609999999999999	956.112	408.241	1369.838	NA	1261067	13164	8421	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells010000_full_spatialcellchat_v3_perm00020
25000	full	spatialess	20	completed	0	6.51	722568	0.689094543457031	4.65661287307739	419	11	373	0	3.927	NA	4.17	440698	3402619	16310	11830	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells025000_full_spatialess_perm00020
25000	full	spatialcellchat_v3	20	completed	0	6291	16857776	16.0768280029297	4.65661287307739	419	11	373	0.0709999999999997	5826.212	456.799	6288.532	NA	3402619	16310	11830	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells025000_full_spatialcellchat_v3_perm00020
50000	full	spatialess	20	completed	0	10.48	841048	0.802085876464844	18.6264514923096	419	12	373	0	7.906	NA	8.173	904992	7020075	18484	14217	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells050000_full_spatialess_perm00020
50000	full	spatialcellchat_v3	20	completed	0	23919	63729364	60.7770576477051	18.6264514923096	419	12	373	0.0670000000000002	23312.865	597.653000000002	23916.355	NA	7020075	18484	14217	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells050000_full_spatialcellchat_v3_perm00020
100000	full	spatialess	20	completed	0	20.46	989080	0.943260192871094	74.5058059692383	419	12	373	0	17.561	NA	17.859	1826662	14065040	21152	16910	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells100000_full_spatialess_perm00020
100000	full	spatialcellchat_v3	20	failed	0	21655	90734120	86.5307998657227	74.5058059692383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells100000_full_spatialcellchat_v3_perm00020
200000	full	spatialess	20	completed	0	43.9	1324056	1.26271820068359	298.023223876953	419	12	373	0	40.778	NA	41.115	3733232	28559515	24285	20294	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells200000_full_spatialess_perm00020
200000	full	spatialcellchat_v3	20	failed	1	9.44	1981508	1.88971328735352	298.023223876953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells200000_full_spatialcellchat_v3_perm00020
443515	full	spatialess	20	completed	0	101.75	2062836	1.9672737121582	1465.57059306651	419	12	373	0	98.05	NA	98.469	8619362	64148222	34629	28878	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells443515_full_spatialess_perm00020
443515	full	spatialcellchat_v3	20	failed	1	10.94	3097816	2.95430755615234	1465.57059306651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	/data/dzf/SecAct_2026/results/spatialcellchat_v3_headtohead/cells443515_full_spatialcellchat_v3_perm00020
