"metric"	"value"
"spatial_slices"	45
"independent_patients"	35
"control_patients"	9
"PF_patients"	26
"tested_features"	50040
"valid_LMM"	39570
"valid_non_singular"	22262
"valid_singular"	17308
"convergence_warning"	1984
"numerical_failure"	292
"insufficient_nonzero"	8194
"LMM_BH_q_below_0.05"	5147
"slice_GLM_BH_q_below_0.05"	4172
"shared_significant"	4108
"significant_Jaccard"	0.788332373824602
"effect_Spearman"	0.996623116565755
"effect_direction_agreement"	0.992822845590093
"old_warning_now_valid"	328
"old_failure_now_valid"	0
