excluded_patient	excluded_condition	model	fitted_features	significant_features	estimate_spearman	primary_sign_concordance	primary_significant_retained	significant_jaccard	top100_overlap
THD0008	Control	leave_one_patient_out	41044	4076	0.966324716241875	1	0.906318082788671	0.752941176470588	66
THD0011	Control	leave_one_patient_out	41658	3092	0.981319974379891	1	0.773965141612201	0.724630290668027	92
TILD028	Disease	leave_one_patient_out	41654	3775	0.997849313045679	1	0.959150326797386	0.897324840764331	93
TILD049	Disease	leave_one_patient_out	41630	3867	0.996804808550326	1	0.963507625272331	0.884278930267433	76
TILD080	Disease	leave_one_patient_out	41483	3450	0.997671303123937	1	0.922385620915033	0.906827309236948	97
TILD111	Disease	leave_one_patient_out	41613	3886	0.996226927417358	1	0.964869281045752	0.882440846824409	85
TILD113	Disease	leave_one_patient_out	41603	3618	0.99745759043917	1	0.940359477124183	0.899921813917123	88
TILD117	Disease	leave_one_patient_out	40659	3323	0.997903757696795	1	0.898420479302832	0.89258658008658	97
TILD130	Disease	leave_one_patient_out	41564	3465	0.997033280124577	1	0.917211328976035	0.89360573096312	93
TILD167	Disease	leave_one_patient_out	41659	3831	0.997879771001378	1	0.966230936819172	0.897092288242731	88
TILD175	Disease	leave_one_patient_out	41339	3459	0.9959260998895	1	0.913943355119826	0.889006622516556	95
TILD299	Disease	leave_one_patient_out	41366	3445	0.995804438047359	1	0.910947712418301	0.886797454931071	97
TILD315	Disease	leave_one_patient_out	41341	3477	0.99563790710626	1	0.918300653594771	0.892772041302621	97
VUHD038	Control	leave_one_patient_out	41712	2973	0.986360589214809	1	0.743464052287582	0.697318007662835	88
VUHD049	Control	leave_one_patient_out	41636	3279	0.979534851145512	1	0.800925925925926	0.733416458852868	75
VUHD069	Control	leave_one_patient_out	41676	3297	0.981212896099744	1	0.805283224400871	0.73703888334995	57
VUHD090	Control	leave_one_patient_out	41691	3083	0.985354133844847	1	0.779684095860566	0.735611510791367	86
VUHD095	Control	leave_one_patient_out	41669	2989	0.984106827810823	1	0.763071895424837	0.726094843223633	82
VUHD113	Control	leave_one_patient_out	41694	2695	0.984074178535901	1	0.706699346405229	0.68796394485684	91
VUHD116	Control	leave_one_patient_out	41591	2979	0.989054532742291	1	0.774237472766885	0.746586134453782	88
VUILD102	Disease	leave_one_patient_out	41504	3818	0.99856153371772	1	0.966503267973856	0.900532859680284	82
VUILD104	Disease	leave_one_patient_out	41179	3429	0.998699788246815	1	0.924291938997821	0.915565147019153	96
VUILD105	Disease	leave_one_patient_out	41536	3462	0.998839590421919	1	0.930555555555556	0.919289749798224	95
VUILD106	Disease	leave_one_patient_out	41129	3321	0.996277362554699	1	0.898692810457516	0.893582453290008	99
VUILD107	Disease	leave_one_patient_out	41054	3273	0.995986449315182	1	0.8869825708061	0.883134490238612	99
VUILD110	Disease	leave_one_patient_out	40278	3492	0.995960830760347	1	0.930010893246187	0.910909575886903	95
VUILD115	Disease	leave_one_patient_out	41426	3484	0.996657513144192	1	0.922113289760349	0.898143236074271	96
VUILD141	Disease	leave_one_patient_out	41594	3880	0.997801749913032	1	0.969226579520697	0.891309792136238	78
VUILD142	Disease	leave_one_patient_out	41706	4443	0.997915282497751	1	0.995642701525055	0.819914779098453	81
VUILD48	Disease	leave_one_patient_out	41292	3691	0.998447470042212	1	0.958877995642701	0.916449765747007	94
VUILD49	Disease	leave_one_patient_out	41623	3675	0.99783587210706	1	0.944989106753813	0.895021924168171	96
VUILD58	Disease	leave_one_patient_out	41560	3562	0.996928784269053	1	0.933278867102396	0.900183871815078	93
VUILD78	Disease	leave_one_patient_out	41505	3720	0.998796053792798	1	0.964324618736383	0.919501428200467	87
VUILD91	Disease	leave_one_patient_out	41567	3654	0.998905321003327	1	0.957788671023965	0.923339459175637	92
VUILD96	Disease	leave_one_patient_out	41219	3449	0.998062984404582	1	0.922113289760349	0.906559571619813	90
