rank	interaction_name	pathway_name	annotation	tested_features	significant_features	disease_increased	disease_decreased	minimum_q_value
1	COL1A1_CD44	COLLAGEN	ECM-Receptor	2091	381	372	9	2.43113507831796e-08
2	FN1_CD44	FN1	ECM-Receptor	2104	299	239	60	2.43113507831796e-08
3	VEGFA_VEGFR2	VEGF	Secreted Signaling	1847	96	56	40	8.07864970042133e-07
4	CD86_CTLA4	CD86	Cell-Cell Contact	664	25	21	4	8.07864970042133e-07
5	COL1A2_CD44	COLLAGEN	ECM-Receptor	2089	305	277	28	1.6634741351133e-06
6	CCL21_CCR7	CCL	Secreted Signaling	859	42	41	1	1.6634741351133e-06
7	CCL18_ACKR1	CCL	Secreted Signaling	1355	83	81	2	1.87483728422899e-06
8	CCL2_ACKR1	CCL	Secreted Signaling	1434	85	85	0	3.38472039720486e-06
9	SPP1_CD44	SPP1	Secreted Signaling	1832	124	102	22	3.50738114877809e-06
10	HLA-DQA1_CD4	MHC-II	Cell-Cell Contact	1577	158	148	10	3.70106094917936e-06

